ID	Shop	Category	Comments		Category	Explain on Primairy Category	Explain on Secondary Category
20	Mage	Broken Shop			No Buying!	Do not buy anything from this shop as it will break your character.	
21	Class Armors	Rare Shop			AC/Member	This shop is containing Only both member and AC items	
22	Warrior Upgrade	Rare Shop			Merge House Shop	This shop is both Merge shop and a House Shop	
23	Mage Upgrade	Rare Shop					
24	Healer Upgrade	Rare Shop					
25	Rogue Upgrade	Rare Shop					
26	Paladin	Normal Shop					
27	Assassin	Member Shop					
28	Bubble Mogloween	Seasonal Shop					
29	Toil Mogloween	Seasonal Shop					
30	Trouble Mogloween	Seasonal Shop					
31	Battleon Assorted shop	Normal Shop					
32	Luna Cove Merge	Merge Shop					
33	Oishii's Harvest Shop	Seasonal Shop					
34	Frostval Gift Boxes!	Seasonal Shop					
35	Frostval Caves	Seasonal Shop					
36	Frostval Factory	Seasonal Shop					
37	Wedding Shop	Broken Shop					
38	Dragonslayer	Normal Shop					
39	Adventurer Gear	Normal Shop					
40	Artix Shop	Member Shop					
41	Armor Shop	Normal Shop					
42	Nulgath	Broken Shop					
43	Super Bowl Shop	Seasonal Shop					
44	Murry's Shop	Normal Shop					
45	Chaos Shop	Member Shop					
46	Pactagonal Shop	Normal Shop					
47	Evil Shop	Normal Shop					
48	Good Shop	Normal Shop					
49	Quibble Coinbiter's shop	Rare Shop					
50	Voltaire's Shop	Broken Shop					
51	Earth Day	Seasonal Shop					
52	Luna Cove Rares	Rare Shop					
53	Guardian Shop	Badge Shop					
54	Dragonlord Shop	Badge Shop					
55	Star Captain Shop	Badge Shop					
56	Zio's Shop	Normal Shop					
57	Renn's Shop	Normal Shop					
58	Goose Merge Shop	Merge Shop					
59	Summer Shop	Seasonal Shop					
60	Chuckles	Promo Shop					
61	Peacock	Normal Shop					
62	Mustard	Normal Shop					
63	Plum	Normal Shop					
64	Hitchgreen	Normal Shop					
65	Scarlet	Normal Shop					
66	Whiteberry	Normal Shop					
67	Inn Staff	Normal Shop					
68	Nulgath	Normal Shop					
69	Legendary Suggestion Shop	Normal Shop					
70	House Shop (Furniture)	House Shop					
71	House Shop	House Shop					
72	House Shop (Wall)	House Shop					
73	House Shop (Other)	House Shop					
74	Mage Shop	Rare Shop					
75	8-Bit House Shop	Rare Shop					
76	MechQuest ArtBook	Promo Shop					
77	Little Wolves House Items	House Shop					
78	Black Knight Shop	Normal Shop					
79	Coral Beach Merge	Merge Shop					
80	Dwarfhold Reputation shop	Reputation Shop					
81	Deady Shop	Promo Shop					
82	Drow Shop	AC Shop					
83	Mick Guyver Shop	House Shop					
84	dwarfwarShop	Rare Shop					
85	Basic Enhancement	Broken Shop					
86	Good Alliance Shop	Reputation Shop					
87	Evil Alliance Shop	Reputation Shop					
88	Good Rep Shop	Reputation Shop					
89	Evil Rep Shop	Reputation Shop					
90	Basic Enhancement Shop	Staff Shop	Enhancement Shop				
91	Test Enhancement	Staff Shop	Enhancement Shop				
92	Quibble's House Shop	Rare Shop	House Shop				
93	Cosplay Shop	Normal Shop					
94	Ninja Shop	Normal Shop					
95	Yokai Rep Shop	Reputation Shop					
96	Akiba House Shop	House Shop					
97	Akiba House Items	House Shop					
98	Mistu Bishi Shop	AC Shop					
99	Voltaire House Items Shop	Badge shop	House Shop				
100	DoomKnight Shop	Member Shop					
101	AC DoomKnight Shop	AC Shop					
102	Canadian Thanksgiving	Seasonal Shop					
103	Beckett Shop	Rare Shop					
104	Vampire Shop Mogloween	Seasonal Shop					
105	Xergon Merge Shop	Merge Shop					
106	Mogloween AC Shop	Seasonal Shop	AC				
107	TempFounder	Broken Shop					
108	Blazebeard Merge	Merge Shop					
109	First Upholder	Broken Shop					
110	Unlucky Deady Shop	Rare Shop					
111	Friday The 13th	Seasonal Shop					
112	Limited Time Shop	Rare Shop					
113	Tutorial Shop	Rare Shop					
114	Turotial Enhancements	Rare Shop	Enhancement Shop				
115	Harvest Twig Shop	Seasonal Shop					
116	Harvest House Shop	Seasonal Shop	House Shop				
117	Black Friday Shop	Seasonal Shop					
118	PTR Tester Shop	Rare Shop					
119	Adak's Shop	Normal Shop					
120	Forge Shop	Normal Shop					
121	PTR Enhancement 1	Rare Shop	Enhancement Shop				
122	PTR Enhancement 10	Rare Shop	Enhancement Shop				
123	PTR Enhancement 20	Rare Shop	Enhancement Shop				
124	Frostval Seasonal Shop	Seasonal Shop					
125	Nulgath	House Shop					
126	King Coal Shop	Normal Shop					
127	Major Moglin Shop	Seasonal Shop					
128	Major Moglin's House Shop	Seasonal Shop	House Shop				
129	New Year's Shop	Seasonal Shop					
130	Shrine Shop	Normal Shop					
131	Hashi Hime Rep Yokai	Reputation Shop					
132	Celestial Realm Merge	Merge Shop					
133	Big Daddy's Shop	Seasonal Shop					
134	Prince Jim's Shop	Seasonal Shop					
135	Beleen's Chaos Fuzzy Shop	Merge Shop					
136	Chinese New Year House Shop	Seasonal Shop	House Shop				
137	Pancake Day Shop	Rare Shop					
138	Shadowslayer Z Shop	Normal Shop					
139	Vampire Rep Shop	Reputation Shop					
140	Master Enhancement Shop	Staff Shop	Enhancement Shop				
141	Reserved Enh Shop - Fighter	Enhancement Shop					
142	Reserved Enh Shop - Thief	Enhancement Shop					
143	Reserved Enh Shop - Hybrid	Enhancement Shop					
144	Reserved Enh Shop - Wizard	Enhancement Shop					
145	Reserved Enh Shop - Healer	Enhancement Shop					
146	Reserved Enh Shop - Spellbreaker	Enhancement Shop					
147	Reserved Enh Shop - Lucky	Enhancement Shop					
148	Reserved Enh Shop - Armsman	Broken Shop					
149	Reserved Enh Shop 9	Broken Shop					
150	Reserved Enh Shop 10	Broken Shop					
151	Reserved Enh Shop 11	Broken Shop					
152	Reserved Enh Shop 12	Broken Shop					
153	Reserved Enh Shop 13	Broken Shop					
154	Reserved Enh Shop 14	Broken Shop					
155	Reserved Enh Shop 15	Broken Shop					
156	Reserved Enh Shop 16	Broken Shop					
157	Reserved Enh Shop 17	Broken Shop					
158	Reserved Enh Shop 18	Broken Shop					
159	Reserved Enh Shop 19	Broken Shop					
160	Reserved Enh Shop 20	Broken Shop					
161	Lycan Rep Shop	Reputation Shop					
162	Fair Token Shop	Seasonal Shop					
163	Preview	Preview Shop					
164	Yin	Normal Shop					
165	Yang	Normal Shop					
166	Vampire War Shop	House Shop					
167	Lycan War Shop	House Shop					
168	Grenwog	Seasonal Shop					
169	Dumoose's Shop	Broken Shop					
170	Thok's Shop	Normal Shop					
171	Thok's Upgrade Shop	Member Shop					
172	Metrea's Shop	Normal Shop					
173	Metrea's Upgrade Shop	Member Shop					
174	Arcana's Shop	Normal Shop					
175	Arcana's Upgrade Shop	Member Shop					
176	Juvania's Shop	Normal Shop					
177	Juvania's Upgrade Shop	Member Shop					
178	Mazumi's Shop	Normal Shop					
179	Artix's Shop	Normal Shop					
180	Noob Enh Shop	Rare Shop	Enhancement Shop				
181	PvP Necklace	Normal Shop					
182	Taro	Broken Shop					
183	Oblivion	Broken Shop					
184	EXP Boost Shop	AC Shop					
185	Captain Lore's Shop	Seasonal Shop					
186	Mythsong Rep	Reputation Shop					
187	Mythsong Item	Normal Shop					
188	Mythsong Pet	Member Shop					
189	Stratos' Birthday Shop	Seasonal Shop					
190	Cinco de Mayo	Seasonal Shop					
191	Mothers Day	Seasonal Shop					
192	Mythsong AC	AC Shop					
193	Zephyrus	Normal Shop					
194	Bounty Hunter Shop	Normal Shop					
195	Cysero's Wedding	Rare Shop					
196	June Holiday Shop	Seasonal Shop					
197	Zeppelin Shop	Normal Shop					
198	Zeppelin Boss Shop	Broken Shop					
199	One-Eyed Doll Event Shop	Rare Shop					
200	Backstage House Shop	House Shop					
201	Pre-Show Merch Shop	Rare Shop					
202	Hollowsoul Locker	Member Shop					
203	Freedom Shop	Seasonal Shop					
204	Hollowsoul Houses	House Shop					
205	Green Guitar Shop	Promo Shop					
206	Chicken Cow Shop	Promo Shop					
207	Live Drawing Shop	Rare Shop					
208	Viral Shop	Rare Shop					
209	Lowe Event AC	Rare Shop	AC				
210	mergeshoptest	Staff Shop	Merge Shop				
211	Reens' Potion Shop	Normal Shop					
212	Blakk's Pets	Member Shop					
213	Moonwrath's Items	Normal Shop					
214	Arcangrove Rep Shop	Reputation Shop					
215	Undead Warrior Shop	AC Shop					
216	Undead Legion Shop	Normal Shop					
217	Mudluk Mushroom Shop	AC Shop					
218	Obrigado Brasil	Seasonal Shop					
219	Taco Day	Seasonal Shop					
220	Birthday2 AC Shop	Rare Shop	AC				
221	Test merge shop	Staff Shop					
222	PvP Trophy Shop	Merge Shop					
223	Mogloween Seasonal Candy Shop	Seasonal Shop	Merge Shop				
224	Rotting Pumpkin	Rare Shop	Merge Shop				
225	Daimyo's Birthday!	Seasonal Shop	Member Shop				
226	One-Eyed Doll Video Shop	Rare Shop					
227	AE Calendar Shop	Promo Shop					
228	AE Novel Shop	Promo Shop					
229	Hollow Halls Merge Shop	Merge Shop					
230	Ticklish Zorbo	Rare Shop	Merge Shop				
231	A Little Touch of Death	Staff Shop	Merge Shop				
232	Skyguard Outfitters	Rare Shop					
233	Golden Harvest Scythe	Merge Shop					
234	Harvest Day Parade Merge Shop	Merge Shop					
235	Charroupted Northlands Gear	Merge Shop					
236	Blinding Snow Shop	Normal Shop					
237	The Void	Normal Shop					
238	Undead Legion Merge	Merge Shop					
239	Blizzy's Shop	Seasonal Shop					
240	Blizzy's House Shop	Seasonal Shop	House shop				
241	New Year House Shop	Seasonal Shop	House shop				
242	Sandsea Rep Shop	Reputation Shop					
243	Sandsea Pet	Member Shop					
244	Sandsea House	House Shop					
245	Sandsea Food	Normal Shop					
246	EpicDuel Shirt Shop	Promo Shop					
247	Black Market	Broken Shop					
248	BattleUnder Merge Shop	Merge Shop					
249	Limited Qty Shop	Rare Shop					
250	ED Shirt Shop	Promo Shop					
251	May Holiday Shop	Rare Shop					
252	Chinese New Year Shop	Seasonal Shop					
253	Game Challenge Shop	Rare Shop					
254	HeroSmash Alpha Shop	Rare Shop					
255	Nythera's Wedding Shop	Rare Shop					
256	Lucky Day shamrock fair Merge Shop	Merge Shop					
257	Pancake Day Shop	Seasonal Shop					
258	Mad Green Inventor Shop	Normal Shop					
259	Skyguard Rep Shop	Normal Shop					
260	Skyguard Pet	Member Shop					
261	Potion Wep Test Shop	Broken Shop					
262	Derp April Fools Day Shop	Rare Shop					
263	Skyguard Weapons	Member Shop					
264	The Shop of Horrors	Rare Shop	Merge Shop				
265	CardClasher Shop	Promo Shop					
266	Fear Chaser Shop	Rare Shop					
267	CardClasher House	Promo Shop	House Shop				
268	Sky-NET Assault Shop	Rare Shop					
269	Evolved Bunny Items	Seasonal Shop	Merge Shop				
270	HeroSmash Launch!	Rare Shop					
271	Windsor Wedding Shop	Rare Shop					
272	Alina's Armory	Normal Shop					
273	DoomWood Arena Shop	Merge Shop					
274	Deady Big In Japan Shop	Promo Shop					
275	Deady Urkor Malravenous Shop	Promo Shop					
276	DoomWood Challenge	Normal Shop					
277	DoomWood Rep	Reputation Shop					
278	DoomFood	Normal Shop					
279	DoomWood Weapons	Normal Shop					
280	DoomWood Camouflage	Normal Shop					
281	DoomCoin Shop	Broken Shop					
282	Necromancer Shop	Member Shop					
283	Zorbak's Revenge	AC Shop					
284	Bandit Basher Merge Shop	Merge Shop					
285	Necromancer Class	Merge Shop					
286	Dragon Hero Shop	Badge Shop					
287	Stone Paladin Merge Shop	Merge Shop					
288	Stone Paladin Armor Shop	Normal Shop					
289	3 Month Member Shop	Badge Shop					
290	15 Month Member Shop	Badge Shop					
291	ShadowFall Merge Shop	Merge Shop					
292	Synderes Shop	AC Shop					
293	VIP Upgrade Shop	Badge Shop					
294	ArcAttack Back Stage	Member Shop					
295	Gravelyn's Shop	Member Shop					
296	Vayle's Shop	Member Shop					
297	Zorbak's Shop	House Shop					
298	"???'s Shop 
"	Normal Shop					
299	Class Shop	AC Shop					
300	Bad Ending	Normal Shop					
301	J6 Junkyard Merge Shop	Merge Shop					
302	Samba Armor Shop	Merge Shop					
303	Oishii's Cooking Shop	AC Shop					
304	Cooking Lessons Shop	Merge Shop					
305	Shop	House Shop					
306	Troll Rep Shop	Reputation Shop					
307	Bachius' Weapon Shop	Normal Shop					
308	Horc Rep Shop	Reputation Shop					
309	Sput's Butcher Shop	Member Shop					
310	Ghaz's Weapon Shop	Normal Shop					
311	Chaos Mod Pack	Promo Shop					
312	Doomwood Mod Pack	Promo Shop					
313	ChronoCorruptor Shop	Promo Shop					
314	Twilly's Key Shop	AC Shop					
315	Dragon Con Shop	AC Shop					
316	Horc War Shop	Merge Shop					
317	Troll War Shop	Merge Shop					
318	Troll AC Shop	AC Shop					
319	Horc AC Shop	AC Shop					
320	PaladinSlayer Class & Helm	Badge shop	Merge Shop				
321	Troll Defiance Shop	Normal Shop					
322	Horc Defiance Shop	Normal Shop					
323	Deadmoor	Staff Shop					
324	Collector Token Merge	Merge Shop					
325	Super Fan Token Shop	Merge Shop					
326	Event Items	AC Shop					
327	Vindicator of They Armor	Item Shop					
328	Adventurer Enhancements	Enhancement Shop					
329	Vindicator of They Shop	Item Shop					
330	Troll Merge Shop	Merge Shop					
331	Horc Merge Shop	Merge Shop					
332	Synderes Shop	Merge Shop					
333	Bait Shop	Member Shop					
334	Paymentez Shop	AC Shop					
335	Coin Collector Shop	Merge Shop					
336	Zazul Treasure Chest	Merge Shop					
337	Harvest Feast Shop	Seasonal Shop					
338		No Shop					
339		No Shop					
340	Toy Sepulchure Shop	Promo Shop					
341	Toy Artix Shop	Promo Shop					
342	Toy Sepulchure House Shop	Promo Shop	House Shop				
343	Toy Artix House Shop	Promo Shop	House Shop				
344	Molgulp's Shop	Member Shop					
345	Ancient Mudluk Forge	Merge Shop	Member Shop				
346	Blue Undead Legend	Rare Shop					
347	Beleen's Merge Shop	Merge Shop					
348	Duncan's Dragonslayer Shop	Member Shop					
349	Feranza's Shop	Member Shop					
350	Rakham's Pirate Shop	Member Shop					
351	Etherstorm Rep Shop	Reputation Shop					
352	Heromart Heroes Shirt	Promo Shop					
353	Kierks Tinker Shop	Merge Shop					
354	Friday the 13th House Shop	Rare Shop	House Shop				
355	Kage's Shop	Merge Shop	Member Shop				
356	Dynamite Shop	AC Shop					
357	As'iiur's Potions	Normal Shop					
358	Etherstorm house shop	House Shop					
359	Air Rep Shop	Reputation Shop					
360	Yokai New Year Pets	Seasonal Shop	AC				
361	Agent Sloan's Chest	Merge Shop	Member Shop				
362	Fishing House Shop	House Shop					
363	Fishing Fear	Merge Shop					
364	Water Rep	Reputation Shop					
365	Cornelis Family Cache	Member Shop					
366	Cysero's Lens Shop	Member Shop					
367	Lady Azjurai Wedding	Rare Shop					
368	Earth Rep Shop	Reputation Shop					
369	Legion Soul Shop	Rare Shop	Merge Shop				
370	Dark Heart Shop	Rare Shop					
371	Member Bonus 2k AC Shop	Badge Shop					
372	Member Bonus 5k AC Shop	Badge Shop					
373	Member Bonus 12k AC Shop	Badge Shop					
374	Carnaval!	Seasonal Shop					
375	Spirit Hunter Shop	Merge Shop					
376	Dage's Dark Birthday Shop	Seasonal Shop	AC				
377	Live at Yulgar Merge	Merge Shop					
378	Etherstorm Good Merge	Merge Shop					
379	Australia Day Shop	Seasonal Shop					
380	Australian House Shop	Rare Shop					
381	Cheezburger Trade-In	Rare Shop	Merge House Shop				
382	Etherstorm Evil Merge	Merge Shop					
383	Desoloth Merge	Merge Shop					
384	J6 Shirt Shop	Promo Shop					
385	The Unbroken Sword	Member Shop					
386	Dwarven Defense	Member Shop					
387	Evolved Leprechaun AC Shop	Seasonal Shop	AC				
388	The NPCs Merge	Staff Shop	Merge Shop				
389	Magic Thief Rewards	Normal Shop					
390	Deady Sleezter Shop	Promo Shop					
391	Blood Ancient Shop	Merge Shop					
392	EBILCORP Standard Shop	Rare Shop	AC				
393	Mousepad Shop	Promo Shop					
394	Dage Print Shop	Promo Shop					
395	Alchemy Items	AC Shop					
396	Academic Merits shop	Merge Shop					
397	Trading for Reagents	Merge Shop					
398	AQ3D Tech Demo Tester	Badge shop					
399	Dev Backdoor	Broken Shop					
400	Royal UndeadSlayer Shop	Normal Shop					
401	Knave1 AC Shop	Rare Shop	AC				
402	Dage War Preparation	Rare Shop					
403	Michem's Helms and Capes	Merge Shop					
404	Video Premiere Shop	Rare Shop					
405	Doom Starter Package DeathKnight	Badge Shop					
406	Coffee Dragon Print	Promo Shop					
407	Vayle's Doomwood Shop	Normal Shop					
408	Doomwood II Rep	Reputation Shop					
409	Xan Poster Shop	Promo Shop					
410	Artix's Doomwood Shop	Normal Shop					
411	Vayle's Necromancer Shop	Normal Shop					
412	Missing Sock Shop	Broken Shop					
413	Trading Mixtures (Jera)	Merge Shop					
414	Trading Mixtures (Uruz)	Merge Shop					
415	Trading Mixtures (Fehu)	Merge Shop					
416	Trading Mixtures (Gebo)	Merge Shop					
417	Data for Merits (Jera)	Merge Shop					
418	Data for Merits (Uruz)	Merge Shop					
419	Data for Merits (Fehu)	Merge Shop					
420	Data for Merits (Gebo)	Merge Shop					
421	Nulgath War Preparation	Rare Shop					
422	Light Merge	Merge Shop					
423	Doom Merge	Merge Shop					
424	50% War Shop	Normal Shop					
425	Zombie Merge Shop	Merge Shop					
426	Unrare Undead AC Shop	Rare Shop	AC				
427	100% War Shop	Normal Shop					
428	Good Heroes Poster Shop	Promo Shop					
429	Blinding Light Merge Shop	Rare Shop	Merge Shop				
430	Doom Shadow Merge Shop	Rare Shop	Merge Shop				
431	50% Chop Shop	Normal Shop					
432	100% Saviour Shop	Normal Shop					
433	CVS Promo Shop	Promo Shop					
434	Forge Metal	Merge Shop					
435	Finale Rewards	Normal Shop					
436	Banzai Souvenir Shop	Normal Shop					
437	Absurd Monster Foot Shop	Normal Shop					
438	EBILCORP Executive	Promo Shop					
439	The Span Rep Shop	Reputation Shop					
440	Tek's Gearz	Normal Shop					
441		No Shop					
442	Bulbug's House Shop	House Shop					
443	Cysero's Orb Pet Shop	Member Shop					
444		No Shop					
445	Kittarian Relic	Member Shop					
446	Golden Plate Promo	Badge shop					
447	Pyromancer Shop	Merge Shop					
448	GameStop Promo Shop	Promo Shop					
449	Target Promo Shop	Promo Shop					
450	Icy Cache Merge	Merge Shop					
451	Heromart Villains T-Shirt	Promo Shop					
452	Nulgath War Merge shop	Merge Shop					
453	Paragon Set	Rare Shop					
454	Dage War Merge shop	Merge Shop					
455	Legion War Shop	Merge Shop					
456	Nulgath Diamond Shop	Merge Shop					
457	Spell Crafting	Staff Shop					
458	Death Bunny Nitro Shop	Promo Shop					
459	Beast Maker AC shop	Rare Shop					
460	Evil War Print Shop	Promo Shop					
461	Lorelypmics 2014 Shop	Rare Shop					
462	Epic Duel Armor Shop	Rare Shop					
463	900 AC Bonus Shop	Badge Shop					
464	Stranger's Shop	Merge Shop					
465	Dilligas' Merge Shop	Merge Shop					
466	Klunk (House Shop)	Rare Shop	House Shop				
467	Exos Merge Shop	Merge Shop					
468	Power Gem Shop	Merge Shop					
469	Nulgath Reward Shop	Merge Shop					
470	DragonCon 2012 Shop	Promo Shop					
471	Good Allegiance	Reputation Shop					
472	Evil Allegiance	Reputation Shop					
473	Cleric's Temple Shop	Normal Shop					
474	Solaris Shop	Reputation Shop					
475	Lunaris Shop	Reputation Shop					
476	Suggestion Shop	Normal Shop					
477	J6's Boss Bounty	Merge Shop					
478	Lag PTR reward	Badge Shop					
479	Rare Houses Shop	Rare Shop	House Shop				
480	Heroes and Villains Combo	Promo Shop					
481	Battlepet shop	Member Shop					
482	J6's Wedding House Shop	Rare Shop	House Shop				
483	4th Upholder	Badge Shop					
484		No Shop					
485	Zorbak Shirt	Promo Shop					
486	Death's Rewards	Normal Shop					
487	Death's Rares	Rare Shop					
488	AQ Anniversary Shop	Rare Shop					
489	DF Anniversary Shop	Rare Shop					
490	MQ Anniversary Shop	Rare Shop					
491	AQW Anniversary Shop	Rare Shop					
492	HS Anniversary Shop	Rare Shop					
493	ED Anniversary Shop	Rare Shop					
494	Brightoak House Shop	House Shop					
495	BioHazard Shop	Promo Shop					
496	Tree Titan	Staff Shop					
497	Mallora's Shop	Normal Shop					
498	Chaos Queen Beleen	Rare Shop					
499	Chunin shop	Rare Shop	Merge Shop				
500	Cysero's Gear	Merge Shop					
501	Mogloween 2012 t-shirt	Promo Shop					
502	10 Year Anniversary Shop	Promo Shop					
503	Something About a Dragon Shop	Promo Shop					
504	United Nations Day	Rare Shop					
505	Commited Event Rare	Rare Shop					
506	Commited Merge Shop	Merge Shop					
507	Mogloween Commited	Seasonal Shop					
508	2013 Calendar Shop	Promo Shop					
509	OverSoul Release Shop	Rare Shop					
510	Cysero's tutorial shop	Normal Shop					
511	Referral Shop	Merge Shop					
512	Destiny Shop	Rare Shop					
513	Guilds PTR shop	Badge Shop					
514		No Shop					
515	Fall Fire Shop	Rare Shop					
516	TheSpan war merge Shop	Rare Shop	Merge Shop				
517	ChaosLord Beleen Print	Promo Shop					
518	Fall Dryad Merge Shop	Item Shop	Merge Shop				
519	Dark Harvest Shop	Seasonal Shop					
520	Sword of Hope 	Seasonal Shop	Merge shop				
521	Athon's Frostval Shop	Seasonal Shop					
522	December Specials Shop	Rare Shop					
523	Beleen's Birthday House Shop	Rare Shop	House Shop				
524	Yeti t-shirt	Promo Shop					
525	LQS House Merge	Rare Shop	Merge House Shop				
526	New Beginning	Seasonal Shop					
527	Dreadspace Replicator	Merge Shop					
528	Chaos Watch tower	Normal Shop					
529	Holi-Daily merge	Rare Shop	Merge Shop				
530	Holi-Daily Resource	Rare Shop					
531		No Shop					
532	Blackhorn AC Shop	AC Shop					
533	Blackhorn Tomb Shop	Normal Shop					
534	Winter Token Shop	Item Shop					
535	Seasons Shop Tokens	AC Shop					
536	Witchhunter Shop	Rare Shop					
537	Lionfang Invasion Shop	Normal Shop					
538	Lionfang Invasion AC Shop	AC Shop					
539		No Shop					
540		No Shop					
541		No Shop					
542		No Shop					
543	Helper Pets	Normal Shop					
544	Thunderforge Rep Shop	Reputation Shop					
545	Jade Samurai	Badge Shop					
546	Vokun's Birthday Shop	Rare Shop					
547	Darkblood Armors	Normal Shop					
548	Falguard Weapons	Normal Shop					
549	Spell Ink	Staff Shop	Merge Shop				
550	Shattersword Shop	Normal Shop					
551	Silver Duelist	Badge Shop					
552		No Shop					
553	Shadow of Sepulchure	Promo Shop					
554	Shadow Wraith Shop	Promo Shop					
555	Shadow Empress 	Promo Shop					
556	ChickenCow Bock two	Promo Shop					
557	Treasure Map	AC Shop					
558	Undead Goat Merge	Merge Shop					
559	Hero Tournament	Merge Shop	AC				
560	Trophyhunter Shop	Badge Shop					
561	Alpha Omega Merge	Merge Shop					
562	Tournament Rares	Rare Shop					
563	Tournament Shop	Normal Shop					
564	AE Coffee mug	Promo Shop					
565	Ebil Corp mug	Promo Shop					
566	Beautiful Creatures	Rare Shop					
567	Stonehand Shop	Normal Shop					
568	Treasure Chest	Normal Shop					
569	Not a mod Shirt	Promo Shop					
570	Legion Poster	Promo Shop					
571	Sketchbook	Promo Shop					
572	Death Pits rewards	Normal Shop					
573	ShadowScythe Follower	Promo Shop					
574	Bright Knight	Merge Shop					
575	AQWorlds Cup	Rare Shop					
576	StormBringer	Badge Shop					
577	SoulForge	Item Shop	Merge Shop				
578	DragonClaw	Badge Shop					
579	MCW Rare shop	Rare Shop					
580	Valencia's Treasure Shop	AC Shop					
581	Galanoth's Birthday Merge	Seasonal Shop	Merge shop				
582	DragonSlayer Treasures	Seasonal Shop					
583	Royal Commander	Badge Shop					
584	Lionfang's Vault	AC Shop					
585	Lionfang's Vault	AC Shop					
586	Lionfang's Vault	AC Shop					
587	Manticore LTS	Rare Shop	AC				
588	Treasure Map	AC Shop					
589	Sketchbook House shop	Promo Shop	House Shop				
590	Seasonal Preview	Preview Shop					
591	Spring Shop	Item Shop					
592	Undead Goat Morph	Item Shop					
593	Aria's pet eggs	Rare Shop	Merge Shop				
594	Pet Eggs	Rare Shop					
595	Pink Romancer	Item Shop					
596	Dragon Blade Limited Time	Rare Shop					
597	Warp Necro Cape	Item Shop					
598	Warp Necro Set	Item Shop					
599	GI J6	Rare Shop					
600	Astral Guardian	Badge shop					
601	Cysero Bacon T-shirt	Promo Shop					
602	Astral Guardian	Rare Shop					
603	J6 House	House Shop					
604	Dunestalker	Rare Shop					
605	Artist Showcase: Vokun	Normal Shop					
606	Gilded Champion Blade	AC Shop					
607	Center of Lore Shop	Normal Shop					
608	Lucky 13 contest	Rare Shop					
609	Realm Guardian	Merge Shop					
610		No Shop					
611	Artist Showcase: Memet	Normal Shop					
612	LightCaster	Badge Shop					
613	LightCaster LTS	Rare Shop					
614	RavenScar	Normal Shop					
615	RavenScar Legion	Rare Shop					
616	Worldsaver Shop	Rare Shop					
617	Blood Titan Merge Shop	Merge Shop	AC/Member				
618	Mirror Realm Merge	Merge Shop					
619	Irony x3	Rare Shop					
620	Artist Showcase: Hizu	Normal Shop					
621	Found Sock Shop	Seasonal Shop					
622	AC Spell Inks	Merge Shop					
623	Spellcraft Rep Shop	Reputation Shop					
624	Kanataka Warrior	Badge Shop					
625	Artist Showcase: Mido	Normal Shop					
626	Chaos Twin Print	Promo Shop					
627	Good Twin	Promo Shop	Item Shop				
628	Bad Twin	Promo Shop	Item Shop				
629	Artist Showcase: Nulgath	Member Shop					
630	Blade of Awe	Merge Shop					
631	Gear of Awe	Normal Shop					
632	Awe Merge shop	Merge Shop					
633	Hybrid Awe Enhancements	Enhancement Shop					
